Date;Time;BtRx(V);RSSI(dB);AccZ(g);Tmp1(@C);A4(V);VFAS(V);Curr(A);Alt(m);Fuel(%);VSpd(m/s);Hdg(@);AccX(g);AccY(g);450;Tmp2(@C);Dist(m);GAlt(m);GSpd(kmh);GPS(lat);GPS(lon);ASpd(kmh);Alt(m);Dir;Prf;Gaz;Ail;S1;S2;SA;SB;SC;SD;LSW;TxBat(V)
01/01/2021;22:12:13.470;4.7;100;0.95;12;4.09;12.28;0.9;0.0;27;-0.1;301.10;0.06;0.04;2951;3609;0;158.7;0.2;48.146681;-3.629855;6.1;0.0;-2;17;-334;7;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:14.480;4.7;100;0.90;12;4.09;12.27;0.9;0.0;28;0.0;355.50;-0.25;0.30;2951;3609;0;158.5;0.6;48.146683;-3.629855;5.9;0.0;-2;15;-336;7;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:15.480;4.7;100;0.92;12;4.08;12.26;0.6;0.0;28;0.0;354.80;0.37;-0.08;3065;3609;0;158.4;1.4;48.146685;-3.629856;7.0;0.0;-2;17;-336;7;-673;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:16.480;4.7;100;0.90;12;4.09;12.27;0.8;0.0;28;-0.1;335.20;0.29;-0.28;3065;3609;0;158.1;0.6;48.146683;-3.629858;3.5;0.0;-2;15;-336;7;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:17.480;4.7;100;0.94;12;4.09;12.27;0.9;0.0;28;-0.1;28.50;0.14;0.20;3065;3609;0;157.9;0.9;48.146685;-3.629858;1.1;0.0;-2;15;-336;7;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:18.480;4.7;100;0.90;12;4.09;12.27;0.8;0.0;29;0.0;73.70;-0.17;0.31;761;3609;0;157.8;0.1;48.146683;-3.629853;3.3;0.0;-2;15;-336;7;-670;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:19.480;4.7;100;0.97;12;4.09;12.27;0.9;0.0;29;-0.1;60.20;-0.10;0.26;761;3609;0;157.3;0.8;48.146686;-3.629855;6.1;0.0;-4;17;-336;6;-670;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:20.480;4.7;100;1.00;12;4.09;12.27;0.9;0.0;29;-0.1;49.50;-0.04;0.25;761;3609;0;157.5;0.2;48.146691;-3.629856;4.8;0.0;-2;17;-334;7;-670;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:21.480;4.7;100;1.00;12;4.09;12.28;0.9;0.0;29;0.0;53.20;0.03;0.13;761;3609;0;157.6;0.1;48.146693;-3.629863;6.2;0.0;5;17;-334;7;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:22.480;4.7;100;0.97;12;4.09;12.27;0.9;0.0;30;-0.2;16.70;-0.05;0.22;3007;3609;0;157.4;2.3;48.146695;-3.629868;4.2;0.0;-2;17;-336;7;-670;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:23.480;4.7;100;0.95;12;4.09;12.27;0.9;0.0;30;0.0;1.90;-0.01;0.27;2868;3609;0;157.3;0.9;48.146695;-3.629873;7.4;0.0;-2;17;-334;7;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:24.480;4.7;100;0.97;12;4.09;12.27;0.8;0.0;30;0.0;31.30;-0.08;0.11;577;3609;0;157.5;0.4;48.146695;-3.629870;2.4;0.0;-2;17;-336;7;-670;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:25.480;4.7;100;0.97;12;4.09;12.27;0.9;0.0;30;0.0;21.40;-0.03;0.13;577;3609;0;157.5;0.2;48.146695;-3.629870;3.5;0.0;-2;15;-336;7;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:26.480;4.7;100;0.98;12;4.09;12.27;0.9;0.0;31;0.0;12.00;-0.01;0.18;577;3609;0;157.4;0.5;48.146695;-3.629870;6.2;0.0;-2;15;-336;7;-673;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:27.480;4.7;100;0.99;12;4.09;12.27;0.8;0.0;31;-0.1;3.50;0.02;0.27;577;3609;0;157.5;0.7;48.146695;-3.629870;10.9;0.0;-2;15;-336;7;-673;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:34.640;4.7;100;0.96;11;4.08;12.26;0.8;0.0;33;0.0;332.30;0.10;0.27;577;3609;0;157.6;0.9;48.146693;-3.629875;5.3;0.0;-4;15;-1024;7;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:35.630;4.7;100;0.93;15;4.08;12.26;0.9;0.0;33;-0.1;331.10;0.12;0.27;577;3609;0;157.7;0.3;48.146693;-3.629875;2.5;0.0;-4;15;-1024;7;-670;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:36.660;4.7;100;0.90;15;4.08;12.26;0.8;0.0;33;-0.3;338.00;0.02;0.21;577;3609;0;157.5;0.6;48.146693;-3.629875;6.4;0.0;-4;15;-1024;9;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:37.660;4.7;100;1.04;15;4.08;12.26;0.8;0.0;33;-0.6;12.50;0.18;0.41;577;3609;0;156.9;2.0;48.146696;-3.629875;10.0;0.0;-4;15;-1024;7;-673;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:38.660;4.7;100;0.82;15;4.08;12.26;0.7;0.0;34;0.0;19.20;-0.10;0.18;510;3609;0;156.1;0.9;48.146696;-3.629876;3.7;0.0;-4;15;-1024;7;-670;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:39.660;4.7;100;0.98;15;4.08;12.26;0.9;0.0;34;0.1;19.10;-0.08;0.07;510;3609;0;155.8;0.2;48.146695;-3.629873;4.2;0.0;-4;15;-1024;7;-673;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:40.660;4.7;100;0.98;15;4.08;12.26;0.8;0.0;34;0.1;19.10;-0.08;0.07;510;3609;0;154.6;0.0;48.146691;-3.629870;1.8;0.0;-4;15;-1024;7;-673;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:41.660;4.7;100;0.98;15;4.08;12.26;0.9;0.0;34;0.1;19.00;-0.08;0.07;510;3609;0;153.6;0.1;48.146690;-3.629866;2.7;0.0;-4;15;-1024;7;-673;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:42.660;4.7;100;1.00;15;4.08;12.25;0.7;0.0;35;0.6;17.50;-0.18;0.15;510;3609;0;153.1;0.5;48.146690;-3.629863;6.2;0.0;-4;15;-1024;7;-670;-107;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:43.660;4.7;100;0.81;15;4.08;12.26;0.8;0.6;35;0.5;0.80;-0.52;0.10;510;3609;0;153.6;1.1;48.146691;-3.629863;0.1;0.0;-4;15;-1024;9;-673;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:44.660;4.7;100;0.84;15;4.08;12.25;0.6;0.5;35;0.0;352.90;-0.23;0.25;560;3609;0;154.6;1.8;48.146691;-3.629865;2.7;0.0;-4;15;-1024;9;-673;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:45.660;4.7;100;0.97;15;4.08;12.26;0.8;0.3;35;0.0;13.80;-0.08;0.10;662;3609;1;154.4;0.2;48.146693;-3.629861;2.9;0.0;-4;17;-1024;7;-673;-104;-1;0;1;-1;0x0000000000000002;7.7
01/01/2021;22:12:46.660;4.7;100;0.93;15;4.08;12.26;0.8;0.1;35;-0.2;14.20;-0.13;0.10;662;3609;1;154.5;0.1;48.146691;-3.629861;2.0;0.0;-4;17;-1024;7;-673;-104;-1;-1;1;-1;0x0000000000000002;7.7
